OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
313,01/21/2021 10:00:00 AM,5993,30847,44944,36283,3153,1693,6478,4523,7412,1899,14693,1741,10541,13744,964,55531,64355,2218,2127,4256,1555,10814,5878,2877,0
314,01/22/2021 10:00:00 AM,6015,31125,45197,36453,3177,1735,6533,4553,7470,1908,14817,1750,10649,13860,982,55951,64764,2257,2140,4303,1568,10869,5922,2917,0
315,01/23/2021 10:00:00 AM,6033,31396,45459,36688,3226,1755,6571,4587,7551,1955,14925,1753,10736,13954,993,56328,65151,2279,2161,4334,1585,10948,5991,2948,0
316,01/24/2021 10:00:00 AM,6068,31599,45671,36886,3254,1764,6622,4606,7609,1962,15046,1759,10821,14028,1007,56729,65562,2287,2168,4374,1597,11006,6053,2974,0
317,01/25/2021 10:00:00 AM,6095,31764,45847,37023,3271,1771,6649,4629,7667,1969,15113,1760,10896,14077,1013,57129,65865,2298,2173,4396,1605,11048,6097,2983,0
318,01/26/2021 10:00:00 AM,6106,31909,46027,37087,3289,1806,6697,4640,7719,2009,15216,1764,10957,14138,1014,57326,66159,2305,2200,4411,1613,11102,6140,2986,0
319,01/27/2021 10:00:00 AM,6119,32093,46254,37281,3304,1824,6750,4674,7786,2017,15239,1765,11039,14250,1021,57685,66535,2312,2208,4448,1622,11153,6172,3008,0
320,01/28/2021 10:00:00 AM,6134,32362,46618,37464,3340,1833,6808,4690,7833,2031,15342,1782,11127,14330,1023,58011,66888,2328,2222,4489,1635,11228,6213,3018,0
321,01/29/2021 10:00:00 AM,6143,32535,46843,37625,3373,1859,6861,4709,7909,2040,15447,1789,11186,14408,1027,58308,67262,2338,2228,4517,1646,11307,6232,3037,0
322,01/30/2021 10:00:00 AM,6175,32737,47111,37771,3392,1874,6890,4745,7965,2074,15531,1790,11287,14496,1033,58710,67583,2363,2239,4558,1673,11376,6297,3056,0
323,01/31/2021 10:00:00 AM,6198,32906,47341,37951,3410,1888,6954,4757,8022,2089,15615,1794,11368,14572,1046,58965,67883,2367,2247,4569,1679,11442,6334,3076,0
324,02/01/2021 10:00:00 AM,6205,33044,47502,38024,3428,1899,6983,4767,8060,2103,15646,1798,11411,14631,1048,59155,68102,2370,2253,4611,1691,11471,6352,3082,0
325,02/02/2021 10:00:00 AM,6212,33111,47608,38120,3438,1902,7001,4776,8087,2106,15722,1798,11450,14656,1053,59292,68295,2378,2261,4618,1707,11494,6371,3085,0
326,02/03/2021 10:00:00 AM,6218,33194,47735,38194,3446,1904,7017,4784,8126,2113,15759,1800,11481,14704,1056,59439,68490,2386,2268,4636,1716,11521,6403,3093,0
327,02/04/2021 10:00:00 AM,6239,33362,47890,38311,3465,1915,7041,4797,8184,2124,15845,1805,11526,14767,1059,59782,68772,2391,2279,4661,1722,11570,6427,3103,0
328,02/05/2021 10:00:00 AM,6249,33557,48081,38432,3485,1924,7078,4818,8232,2134,15910,1807,11567,14826,1061,60040,69059,2406,2286,4697,1731,11620,6469,3115,0
329,02/06/2021 10:00:00 AM,6298,33673,48282,38584,3499,1937,7102,4840,8282,2166,15968,1819,11637,14877,1062,60235,69343,2421,2294,4739,1740,11664,6490,3132,0
330,02/07/2021 10:00:00 AM,6310,33812,48477,38733,3513,1960,7155,4858,8328,2174,16057,1821,11714,14952,1069,60479,69600,2437,2304,4775,1758,11714,6510,3140,0
331,02/08/2021 10:00:00 AM,6317,33911,48568,38828,3519,1962,7176,4866,8357,2184,16100,1821,11765,14981,1069,60633,69779,2439,2310,4803,1763,11729,6525,3148,0
332,02/09/2021 10:00:00 AM,6321,33980,48631,38909,3526,1969,7209,4875,8388,2189,16159,1822,11791,15037,1070,60835,70020,2443,2317,4817,1770,11756,6543,3152,0
333,02/10/2021 10:00:00 AM,6333,34096,48800,39025,3535,1972,7232,4890,8427,2194,16190,1823,11849,15087,1073,61001,70244,2453,2320,4829,1777,11799,6553,3164,0
334,02/11/2021 10:00:00 AM,6336,34216,48976,39131,3552,1978,7272,4906,8464,2202,16249,1824,11910,15126,1077,61160,70465,2466,2323,4847,1779,11859,6578,3169,0
335,02/12/2021 10:00:00 AM,6348,34348,49111,39253,3559,1983,7294,4918,8496,2205,16294,1828,11962,15179,1083,61330,70646,2478,2338,4876,1781,11891,6595,3181,0
336,02/13/2021 10:00:00 AM,6359,34448,49233,39345,3565,1987,7313,4932,8526,2230,16366,1829,12004,15238,1085,61518,70818,2488,2346,4893,1787,12030,6609,3187,0
337,02/14/2021 10:00:00 AM,6363,34526,49353,39424,3572,1991,7331,4940,8553,2243,16409,1829,12040,15284,1088,61643,70980,2492,2347,4900,1796,12065,6621,3193,0
338,02/15/2021 10:00:00 AM,6366,34602,49444,39497,3581,1995,7349,4949,8578,2250,16448,1829,12080,15316,1090,61744,71118,2493,2348,4917,1801,12086,6628,3196,0
339,02/16/2021 10:00:00 AM,6368,34645,49497,39552,3586,1999,7355,4958,8597,2252,16481,1831,12095,15342,1093,61835,71216,2499,2349,4928,1808,12100,6634,3201,0
340,02/17/2021 10:00:00 AM,6369,34721,49653,39560,3591,2001,7364,4964,8626,2253,16511,1831,12129,15384,1097,61942,71402,2504,2351,4936,1811,12136,6641,3203,0
341,02/18/2021 10:00:00 AM,6374,34860,49762,39633,3598,2005,7381,4966,8656,2264,16582,1832,12168,15425,1099,62085,71586,2515,2356,4956,1818,12164,6664,3217,0
342,02/19/2021 10:00:00 AM,6382,34964,49897,39701,3602,2013,7406,4971,8686,2281,16629,1833,12212,15461,1103,62234,71817,2529,2361,4979,1832,12189,6672,3220,0
343,02/20/2021 10:00:00 AM,6382,35040,49977,39785,3611,2016,7423,4971,8714,2287,16659,1833,12262,15505,1104,62336,71993,2535,2362,4984,1844,12203,6685,3226,0
344,02/21/2021 10:00:00 AM,6391,35094,50063,39839,3613,2017,7434,4972,8733,2301,16691,1833,12285,15519,1105,62436,72122,2546,2365,5001,1847,12232,6689,3227,0
345,02/22/2021 10:00:00 AM,6393,35166,50132,39899,3620,2021,7447,4974,8751,2306,16715,1835,12309,15568,1105,62523,72250,2549,2365,5011,1851,12249,6698,3229,0
346,02/23/2021 10:00:00 AM,6395,35218,50194,39980,3623,2022,7460,4978,8771,2318,16747,1836,12336,15603,1107,62626,72416,2549,2369,5025,1855,12264,6703,3233,0
347,02/24/2021 10:00:00 AM,6398,35297,50351,40037,3626,2025,7475,4979,8801,2320,16778,1836,12373,15647,1108,62767,72609,2555,2370,5034,1860,12281,6719,3244,0
348,02/25/2021 10:00:00 AM,6399,35410,50482,40141,3634,2027,7486,4991,8830,2327,16826,1840,12403,15682,1109,62896,72788,2559,2372,5066,1867,12344,6735,3252,0
349,02/26/2021 10:00:00 AM,6400,35510,50669,40186,3639,2036,7516,4998,8864,2336,16869,1841,12432,15724,1120,63039,72990,2563,2381,5079,1870,12366,6750,3258,0
350,02/27/2021 10:00:00 AM,6405,35604,50779,40303,3647,2040,7531,5004,8885,2342,16910,1841,12457,15757,1121,63166,73149,2571,2384,5099,1873,12383,6759,3262,0
351,02/28/2021 10:00:00 AM,6406,35712,50891,40401,3656,2046,7543,5014,8899,2347,16938,1842,12483,15798,1122,63276,73320,2574,2389,5117,1880,12408,6772,3265,0
352,03/01/2021 10:00:00 AM,6408,35772,50972,40474,3661,2049,7548,5023,8921,2348,16969,1844,12515,15827,1125,63395,73413,2577,2390,5123,1886,12417,6779,3266,0
353,03/02/2021 10:00:00 AM,6409,35827,51062,40481,3664,2051,7555,5025,8929,2354,17003,1844,12529,15831,1126,63499,73509,2579,2390,5134,1890,12427,6783,3269,0
354,03/03/2021 10:00:00 AM,6409,35963,51183,40540,3668,2050,7569,5027,8963,2354,17035,1844,12567,15868,1128,63595,73685,2582,2393,5132,1893,12448,6790,3270,0
355,03/04/2021 10:00:00 AM,6411,36084,51318,40608,3673,2051,7574,5041,8994,2355,17095,1844,12592,15893,1129,63702,73834,2585,2397,5150,1897,12465,6797,3276,0
356,03/05/2021 10:00:00 AM,6416,36149,51492,40728,3684,2056,7604,5046,9033,2358,17141,1844,12635,15934,1133,63796,73994,2593,2400,5164,1905,12484,6809,3280,0
357,03/06/2021 10:00:00 AM,6418,36241,51639,40817,3691,2057,7637,5053,9057,2369,17166,1846,12679,16057,1135,63898,74165,2597,2401,5186,1906,12500,6816,3279,0
358,03/07/2021 10:00:00 AM,6421,36331,51730,40892,3701,2058,7661,5059,9074,2375,17196,1847,12700,16088,1139,63987,74327,2601,2401,5201,1907,12519,6821,3283,0
359,03/08/2021 10:00:00 AM,6422,36385,51862,41000,3710,2059,7674,5066,9104,2378,17219,1848,12750,16114,1141,64081,74452,2604,2404,5215,1907,12526,6828,3286,0
360,03/09/2021 10:00:00 AM,6423,36440,51966,41047,3714,2060,7696,5068,9116,2379,17247,1848,12771,16202,1142,64166,74571,2604,2413,5220,1905,12538,6840,3290,0
361,03/10/2021 10:00:00 AM,6426,36543,52096,41193,3718,2063,7717,5072,9132,2380,17282,1849,12823,16283,1142,64273,74704,2605,2415,5233,1908,12571,6845,3293,0
362,03/11/2021 10:00:00 AM,6432,36655,52271,41282,3736,2063,7736,5080,9158,2382,17324,1854,12864,16326,1144,64399,74851,2607,2414,5248,1911,12599,6859,3295,0
363,03/12/2021 10:00:00 AM,6433,36770,52450,41415,3741,2066,7769,5096,9199,2384,17360,1858,12918,16370,1147,64514,74991,2617,2418,5249,1914,12613,6889,3299,0
364,03/13/2021 10:00:00 AM,6434,36870,52606,41588,3747,2068,7802,5107,9225,2394,17407,1859,12966,16459,1153,64647,75180,2621,2421,5255,1914,12649,6908,3301,0
365,03/14/2021 10:00:00 AM,6439,36965,52740,41722,3755,2068,7822,5115,9253,2396,17451,1871,13006,16480,1155,64773,75325,2624,2422,5263,1918,12665,6912,3301,0
366,03/15/2021 10:00:00 AM,6440,37012,52828,41814,3757,2070,7841,5124,9275,2402,17484,1873,13042,16501,1163,64857,75427,2626,2424,5269,1921,12683,6919,3306,0
367,03/16/2021 10:00:00 AM,6443,37074,52936,41906,3767,2070,7849,5132,9296,2404,17524,1874,13075,16544,1164,64934,75541,2629,2430,5277,1921,12698,6924,3304,0
368,03/17/2021 10:00:00 AM,6450,37165,53073,42036,3773,2071,7866,5143,9334,2405,17545,1874,13119,16585,1169,65053,75719,2632,2432,5278,1923,12753,6929,3306,0
369,03/18/2021 10:00:00 AM,6454,37295,53282,42230,3783,2073,7895,5164,9357,2413,17593,1875,13187,16621,1211,65157,75847,2636,2433,5291,1923,12782,6936,3308,0
370,03/19/2021 10:00:00 AM,6457,37450,53445,42418,3791,2077,7919,5183,9391,2418,17646,1879,13243,16649,1218,65289,76022,2651,2437,5300,1924,12832,6950,3309,0
371,03/20/2021 10:00:00 AM,6458,37629,53628,42550,3805,2080,7946,5203,9428,2429,17686,1884,13294,16710,1219,65408,76196,2658,2443,5306,1926,12857,6960,3313,0
372,03/21/2021 10:00:00 AM,6462,37722,53801,42736,3816,2081,7966,5217,9451,2434,17745,1887,13350,16741,1220,65505,76370,2659,2447,5317,1932,12878,6970,3316,0
373,03/22/2021 10:00:00 AM,6463,37799,53914,42839,3821,2083,7984,5226,9465,2440,17772,1888,13376,16776,1220,65596,76481,2663,2447,5323,1940,12894,6977,3318,0
374,03/23/2021 10:00:00 AM,6463,37879,54031,42970,3829,2083,8012,5248,9484,2443,17788,1889,13415,16798,1214,65686,76587,2666,2453,5334,1940,12908,6986,3321,0
375,03/24/2021 10:00:00 AM,6467,38011,54243,43156,3843,2087,8029,5269,9531,2444,17838,1889,13472,16848,1214,65825,76750,2671,2459,5337,1940,12947,7005,3325,0
376,03/25/2021 10:00:00 AM,6476,38186,54484,43351,3855,2092,8063,5277,9556,2449,17893,1893,13550,16915,1214,65986,76950,2679,2465,5361,1943,12998,7015,3331,0
377,03/26/2021 10:00:00 AM,6478,38308,54740,43578,3869,2099,8098,5289,9596,2455,17961,1894,13634,16959,1215,66113,77153,2687,2468,5378,1944,13046,7039,3342,0
378,03/27/2021 10:00:00 AM,6486,38446,55000,43782,3883,2104,8132,5300,9620,2463,18003,1897,13742,17044,1215,66250,77370,2690,2468,5379,1948,13087,7051,3349,0
379,03/28/2021 10:00:00 AM,6499,38572,55245,44016,3891,2110,8176,5311,9648,2463,18053,1899,13826,17106,1215,66392,77573,2692,2469,5390,1952,13132,7062,3352,0
380,03/29/2021 10:00:00 AM,6508,38671,55451,44237,3898,2112,8192,5320,9676,2464,18097,1900,13898,17148,1216,66491,77701,2692,2469,5396,1954,13156,7066,3362,0
381,03/30/2021 10:00:00 AM,6510,38776,55611,44390,3903,2117,8220,5329,9695,2465,18133,1901,13944,17212,1216,66589,77820,2701,2475,5400,1958,13172,7072,3369,0
382,03/31/2021 10:00:00 AM,6530,38894,55856,44629,3907,2120,8260,5347,9724,2468,18183,1904,14053,17270,1220,66704,78011,2709,2480,5409,1958,13245,7082,3381,0
383,04/01/2021 10:00:00 AM,6536,39062,56179,44869,3923,2125,8311,5369,9764,2476,18252,1906,14145,17342,1223,66831,78242,2719,2480,5431,1965,13294,7091,3393,0
384,04/02/2021 10:00:00 AM,6546,39217,56503,45097,3925,2132,8341,5397,9803,2481,18286,1906,14259,17405,1229,66951,78442,2724,2481,5453,1969,13326,7108,3404,0
385,04/03/2021 10:00:00 AM,6557,39345,56735,45318,3932,2138,8371,5423,9826,2489,18347,1910,14330,17470,1232,67061,78633,2730,2481,5462,1971,13363,7127,3409,0
386,04/04/2021 10:00:00 AM,6559,39483,57083,45660,3944,2148,8416,5447,9872,2495,18384,1913,14437,17567,1240,67212,78840,2735,2483,5477,1973,13409,7135,3417,0
387,04/05/2021 10:00:00 AM,6559,39578,57222,45825,3951,2151,8439,5463,9895,2500,18425,1914,14490,17605,1244,67303,78948,2739,2484,5485,1975,13425,7144,3424,0
388,04/06/2021 10:00:00 AM,6560,39658,57383,45967,3953,2156,8469,5473,9906,2501,18479,1914,14553,17641,1246,67375,79087,2745,2485,5499,1976,13444,7156,3429,0
389,04/07/2021 10:00:00 AM,6588,39773,57709,46254,3960,2158,8503,5496,9937,2505,18507,1916,14652,17718,1246,67505,79286,2752,2486,5511,1979,13484,7164,3437,0
390,04/08/2021 10:00:00 AM,6592,39902,57972,46503,3967,2164,8537,5511,9965,2515,18575,1918,14738,17749,1248,67613,79453,2756,2487,5523,1990,13529,7171,3445,0
391,04/09/2021 10:00:00 AM,6602,40112,58366,46778,3977,2172,8581,5539,10010,2521,18652,1919,14849,17834,1251,67773,79706,2770,2491,5545,1995,13587,7183,3450,0
392,04/10/2021 10:00:00 AM,6620,40271,58697,47071,3984,2175,8622,5587,10042,2546,18680,1922,14950,17891,1254,67911,79901,2780,2495,5555,2000,13632,7207,3454,0
393,04/11/2021 10:00:00 AM,6632,40427,58992,47368,3994,2181,8655,5613,10079,2553,18742,1923,15044,17933,1258,68042,80109,2788,2496,5564,2004,13661,7212,3460,0
394,04/12/2021 10:00:00 AM,6636,40489,59201,47579,4003,2186,8669,5636,10094,2557,18791,1923,15107,17967,1261,68144,80228,2791,2501,5578,2011,13678,7223,3462,0
395,04/13/2021 10:00:00 AM,6643,40587,59421,47749,4009,2189,8700,5651,10125,2562,18847,1923,15138,18059,1264,68260,80370,2796,2505,5596,2013,13683,7237,3472,0
396,04/14/2021 10:00:00 AM,6652,40740,59751,48045,4016,2191,8725,5669,10150,2566,18903,1926,15225,18156,1265,68377,80598,2805,2506,5612,2018,13732,7248,3475,0
397,04/15/2021 10:00:00 AM,6666,40905,60053,48311,4026,2200,8764,5689,10184,2575,18946,1927,15304,18192,1266,68487,80817,2811,2509,5632,2020,13761,7268,3482,0
398,04/16/2021 10:00:00 AM,6685,41045,60389,48579,4035,2209,8795,5732,10214,2582,19002,1936,15395,18249,1270,68623,81035,2817,2514,5649,2025,13801,7288,3490,0
399,04/17/2021 10:00:00 AM,6710,41221,60716,48885,4047,2217,8819,5755,10241,2589,19039,1943,15480,18342,1281,68718,81190,2829,2514,5664,2028,13830,7303,3498,0
400,04/18/2021 10:00:00 AM,6712,41312,60935,49104,4053,2226,8845,5803,10269,2608,19088,1950,15552,18385,1282,68842,81342,2836,2516,5674,2029,13853,7310,3502,0
401,04/19/2021 10:00:00 AM,6714,41386,61095,49255,4066,2229,8859,5821,10284,2615,19111,1952,15581,18406,1284,68865,81382,2839,2519,5682,2030,13862,7318,3504,0
402,04/20/2021 10:00:00 AM,6720,41463,61278,49409,4078,2232,8878,5837,10296,2623,19150,1952,15645,18454,1286,68945,81523,2844,2521,5697,2032,13874,7331,3516,0
403,04/21/2021 10:00:00 AM,6734,41610,61567,49592,4081,2237,8895,5875,10328,2628,19182,1952,15700,18497,1289,69049,81701,2853,2520,5701,2038,13907,7336,3517,0
404,04/22/2021 10:00:00 AM,6752,41743,61847,49767,4091,2237,8929,5892,10359,2634,19215,1956,15754,18556,1290,69147,81864,2863,2523,5713,2045,13940,7353,3522,0
405,04/23/2021 10:00:00 AM,6772,41852,62136,49950,4102,2237,8962,5912,10377,2643,19244,1957,15811,18600,1295,69238,82029,2877,2524,5726,2047,13971,7367,3526,0
406,04/24/2021 10:00:00 AM,6777,42014,62391,50147,4115,2244,8981,5933,10407,2652,19282,1962,15872,18638,1301,69334,82190,2890,2525,5738,2048,13996,7382,3532,0
407,04/25/2021 10:00:00 AM,6780,42103,62566,50311,4121,2248,8998,5954,10423,2663,19304,1966,15913,18683,1301,69420,82316,2893,2526,5758,2052,14029,7392,3537,0
408,04/26/2021 10:00:00 AM,6781,42150,62652,50423,4130,2254,9015,5962,10435,2671,19323,1966,15936,18709,1301,69476,82405,2897,2526,5766,2057,14041,7401,3537,0
409,04/27/2021 10:00:00 AM,6789,42219,62832,50499,4134,2256,9038,5971,10455,2685,19342,1968,15956,18736,1304,69528,82515,2901,2533,5773,2057,14050,7409,3541,0
410,04/28/2021 10:00:00 AM,6804,42325,63042,50633,4138,2258,9058,5991,10473,2692,19376,1971,16000,18785,1304,69624,82663,2905,2535,5788,2061,14100,7420,3547,0
411,04/29/2021 10:00:00 AM,6816,42421,63252,50772,4139,2258,9081,6005,10498,2693,19411,1976,16036,18815,1305,69735,82809,2914,2536,5815,2064,14131,7424,3553,0
412,04/30/2021 10:00:00 AM,6821,42512,63446,50930,4148,2260,9108,6029,10524,2702,19428,1981,16070,18862,1312,69805,82965,2925,2538,5824,2068,14151,7435,3557,0
413,05/01/2021 10:00:00 AM,6841,42598,63631,51085,4154,2262,9141,6061,10546,2715,19444,1982,16104,18886,1315,69873,83102,2932,2540,5852,2072,14187,7448,3569,0
414,05/02/2021 10:00:00 AM,6846,42661,63739,51206,4160,2266,9153,6075,10567,2718,19466,1982,16133,18907,1317,69922,83218,2933,2541,5859,2080,14208,7457,3575,0
415,05/03/2021 10:00:00 AM,6852,42709,63835,51306,4161,2268,9166,6086,10578,2722,19478,1983,16151,18922,1318,69964,83310,2933,2543,5868,2088,14225,7465,3578,0
416,05/04/2021 10:00:00 AM,6860,42756,63940,51380,4163,2268,9187,6098,10593,2723,19481,1987,16164,18940,1318,70006,83410,2936,2544,5874,2091,14233,7475,3583,0
417,05/05/2021 10:00:00 AM,6868,42834,64086,51488,4169,2269,9199,6116,10609,2727,19504,1987,16185,18961,1318,70075,83504,2940,2546,5878,2093,14268,7481,3584,0
418,05/06/2021 10:00:00 AM,6871,42886,64193,51579,4170,2269,9227,6124,10626,2734,19518,1992,16207,18985,1322,70089,83598,2946,2548,5894,2097,14297,7505,3590,0
419,05/07/2021 10:00:00 AM,6884,42956,64325,51743,4175,2275,9246,6141,10642,2736,19540,1996,16245,19010,1325,70154,83714,2949,2548,5901,2099,14321,7517,3593,0
420,05/08/2021 10:00:00 AM,6893,43061,64449,51827,4177,2283,9266,6158,10656,2744,19557,2000,16268,19016,1330,70201,83817,2958,2549,5913,2105,14342,7524,3597,0
421,05/09/2021 10:00:00 AM,6895,43118,64532,51919,4179,2284,9279,6165,10661,2750,19569,2000,16283,19026,1330,70233,83872,2959,2554,5919,2109,14359,7529,3601,0
422,05/10/2021 10:00:00 AM,6898,43148,64579,51969,4180,2288,9285,6167,10669,2758,19573,2001,16292,19033,1330,70257,83912,2959,2560,5928,2113,14368,7532,3602,0
423,05/11/2021 10:00:00 AM,6903,43197,64636,52015,4181,2291,9303,6180,10677,2759,19590,2005,16316,19036,1332,70298,83987,2960,2563,5929,2119,14378,7539,3606,0
424,05/12/2021 10:00:00 AM,6906,43248,64724,52099,4183,2292,9317,6187,10685,2763,19604,2008,16328,19053,1334,70353,84069,2962,2563,5936,2121,14390,7539,3607,0
425,05/13/2021 10:00:00 AM,6911,43301,64807,52153,4184,2294,9331,6202,10698,2769,19614,2009,16349,19067,1335,70394,84149,2966,2567,5951,2125,14413,7555,3601,0
426,05/14/2021 10:00:00 AM,6921,43359,64882,52203,4189,2302,9350,6208,10713,2779,19631,2013,16374,19079,1336,70442,84257,2966,2576,5958,2129,14418,7562,3610,0
427,05/15/2021 10:00:00 AM,6929,43400,64931,52256,4191,2306,9361,6218,10720,2787,19639,2014,16391,19088,1336,70466,84353,2966,2576,5964,2131,14430,7573,3609,0
428,05/16/2021 10:00:00 AM,6938,43433,64987,52313,4194,2311,9369,6232,10729,2792,19652,2015,16414,19095,1337,70499,84421,2968,2576,5966,2136,14439,7578,3610,0
429,05/17/2021 10:00:00 AM,6942,43450,65015,52353,4197,2314,9371,6235,10733,2794,19656,2015,16420,19103,1338,70530,84460,2969,2576,5969,2138,14444,7584,3610,0
430,05/18/2021 10:00:00 AM,6949,43467,65040,52378,4197,2318,9379,6241,10739,2798,19660,2017,16429,19113,1339,70556,84497,2972,2577,5971,2137,14452,7592,3610,0
431,05/19/2021 10:00:00 AM,6958,43506,65084,52408,4197,2323,9391,6247,10746,2802,19676,2020,16441,19123,1340,70585,84561,2972,2581,5976,2141,14469,7602,3616,0
432,05/20/2021 10:00:00 AM,6960,43545,65141,52441,4199,2324,9399,6252,10748,2807,19683,2022,16472,19131,1341,70615,84608,2976,2582,5990,2146,14483,7604,3615,0
433,05/21/2021 10:00:00 AM,6963,43590,65225,52512,4199,2326,9415,6259,10757,2810,19704,2024,16479,19147,1344,70645,84689,2976,2592,5996,2147,14500,7612,3616,0
434,05/22/2021 10:00:00 AM,6971,43617,65361,52627,4203,2330,9448,6261,10767,2816,19714,2026,16498,19158,1345,70677,84746,2979,2600,6001,2152,14512,7622,3617,0
435,05/23/2021 10:00:00 AM,6977,43630,65395,52672,4207,2333,9454,6262,10780,2820,19718,2028,16506,19166,1346,70698,84790,2981,2600,6006,2152,14523,7629,3619,0
436,05/24/2021 10:00:00 AM,6978,43644,65435,52743,4208,2334,9460,6266,10802,2820,19720,2029,16510,19169,1347,70712,84813,2984,2601,6007,2154,14531,7634,3619,0
437,05/25/2021 10:00:00 AM,6980,43664,65459,52749,4209,2334,9463,6274,10810,2821,19732,2029,16518,19174,1347,70728,84838,2984,2606,6009,2154,14537,7641,3620,0
438,05/26/2021 10:00:00 AM,6989,43685,65494,52759,4209,2336,9464,6281,10820,2821,19736,2030,16525,19185,1347,70743,84876,2988,2605,6010,2155,14546,7651,3623,0
439,05/27/2021 10:00:00 AM,6991,43700,65513,52785,4214,2340,9472,6285,10831,2825,19743,2030,16537,19188,1347,70769,84910,2991,2607,6013,2157,14557,7660,3630,0
440,05/28/2021 10:00:00 AM,6995,43730,65557,52797,4215,2340,9473,6293,10845,2825,19752,2031,16546,19195,1348,70789,84956,2996,2608,6016,2157,14567,7670,3642,0
441,05/29/2021 10:00:00 AM,6998,43750,65589,52820,4215,2341,9475,6297,10854,2827,19758,2033,16555,19201,1348,70806,84990,2996,2610,6018,2156,14574,7673,3644,0
442,05/30/2021 10:00:00 AM,7002,43769,65612,52839,4216,2341,9476,6298,10856,2827,19769,2033,16559,19207,1348,70903,85033,2996,2611,6021,2157,14581,7679,3644,0
443,05/31/2021 10:00:00 AM,7006,43778,65627,52852,4217,2341,9477,6299,10861,2828,19772,2033,16563,19210,1348,70921,85056,2997,2611,6023,2158,14586,7684,3646,0
444,06/01/2021 10:00:00 AM,7008,43787,65643,52865,4218,2341,9479,6301,10865,2828,19773,2034,16565,19217,1348,70930,85079,2997,2613,6026,2159,14587,7685,3647,0
445,06/02/2021 10:00:00 AM,7008,43794,65655,52860,4219,2341,9481,6301,10870,2828,19776,2034,16568,19218,1348,70935,85089,2998,2613,6028,2160,14595,7683,3658,0
446,06/03/2021 10:00:00 AM,7011,43807,65677,52872,4220,2342,9482,6304,10881,2829,19780,2034,16577,19225,1348,70944,85111,2998,2613,6031,2161,14601,7685,3661,0
447,06/04/2021 10:00:00 AM,7013,43814,65696,52902,4221,2343,9487,6309,10887,2832,19783,2034,16585,19232,1350,70958,85133,2998,2613,6032,2161,14606,7688,3662,0
448,06/05/2021 10:00:00 AM,7018,43825,65709,52925,4222,2343,9491,6309,10889,2837,19787,2035,16590,19241,1350,70971,85156,3000,2613,6036,2163,14609,7689,3663,0
449,06/06/2021 10:00:00 AM,7018,43832,65726,52940,4222,2344,9494,6310,10891,2839,19791,2036,16593,19246,1350,70978,85185,3000,2613,6036,2165,14613,7689,3664,0
450,06/07/2021 10:00:00 AM,7020,43841,65735,52952,4225,2345,9496,6310,10892,2839,19792,2036,16597,19250,1350,70985,85204,3001,2613,6036,2167,14616,7693,3664,0
451,06/08/2021 10:00:00 AM,7021,43848,65753,52955,4225,2346,9497,6311,10898,2839,19794,2038,16599,19253,1350,70995,85218,3002,2613,6036,2168,14617,7696,3665,0
452,06/09/2021 10:00:00 AM,7025,43862,65771,52967,4227,2347,9503,6311,10899,2840,19795,2040,16602,19259,1350,71010,85239,3002,2613,6038,2169,14626,7700,3668,0
453,06/10/2021 10:00:00 AM,7025,43867,65788,52981,4227,2348,9508,6312,10906,2842,19800,2041,16606,19269,1350,71024,85264,3002,2614,6038,2169,14630,7701,3672,0
454,06/11/2021 10:00:00 AM,7027,43877,65798,52996,4230,2348,9507,6315,10916,2844,19803,2041,16609,19275,1350,71033,85295,3002,2616,6039,2169,14632,7703,3672,0
455,06/12/2021 10:00:00 AM,7030,43885,65793,53012,4230,2349,9508,6317,10925,2844,19804,2040,16612,19278,1350,71044,85322,3003,2616,6038,2171,14634,7705,3673,0
456,06/13/2021 10:00:00 AM,7035,43888,65804,53025,4231,2349,9509,6318,10929,2844,19808,2040,16617,19281,1351,71052,85334,3004,2616,6039,2174,14633,7708,3676,0
457,06/14/2021 10:00:00 AM,7036,43891,65813,53029,4233,2349,9511,6318,10933,2845,19812,2041,16618,19283,1351,71059,85346,3004,2616,6039,2177,14634,7709,3678,0
458,06/15/2021 10:00:00 AM,7037,43898,65830,53032,4234,2349,9512,6318,10936,2846,19814,2041,16618,19287,1351,71065,85362,3004,2618,6039,2177,14636,7709,3679,0
459,06/16/2021 10:00:00 AM,7039,43903,65844,53043,4234,2350,9517,6319,10938,2846,19816,2043,16620,19287,1351,71071,85375,3004,2618,6044,2179,14639,7711,3679,0
460,06/17/2021 10:00:00 AM,7043,43910,65853,53048,4234,2350,9519,6322,10940,2847,19820,2043,16626,19288,1351,71081,85387,3003,2618,6048,2180,14644,7711,3683,0
461,06/18/2021 10:00:00 AM,7044,43917,65860,53065,4237,2350,9519,6323,10946,2847,19822,2044,16626,19295,1351,71089,85403,3004,2619,6048,2180,14647,7713,3686,0
462,06/19/2021 10:00:00 AM,7044,43924,65872,53074,4237,2350,9520,6325,10951,2847,19822,2044,16630,19297,1351,71097,85411,3004,2620,6048,2180,14648,7715,3686,0
